Name of Applicant,Grant Category,Grant Amount,Grant Fiscal Year,Community Focus Combined,Community Focus: African American,Community Focus: Asian American,Community Focus: Disabled,Community Focus: Immigrant,Community Focus: L/G/B/T/Q,Community Focus: Latino American,Community Focus: Multiple People of Color,Community Focus: Native,Community Focus: Native American,Community Focus: Pacific Islander,Community Focus: Transgender,Community Focus: Women,Community Focus: No specified focus
Asian Women’s Shelter,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Chinese Culture Foundation of San Francisco,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Chinese Progressive Association,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Croatian American Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Dance Brigade,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Deanne Morizono Myers,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Fifth Stream Music,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Flyaway Productions,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,Women,false,false,false,false,false,false,false,false,false,false,false,true,false
GK Callahan,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Intersection for the Arts,Arts and Community Innovative Partnership (ACIP) ,$18750.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Kulintang Arts Inc.,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Mary Jean Robertson,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,"Native American
Women",false,false,false,false,false,false,false,false,true,false,false,true,false
Queer Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2010 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Raissa Simpson,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2010 12:00:00 AM,Multiple People of Color,false,false,false,false,false,false,true,false,false,false,false,false,false
Ruby’s Clay Studio and Gallery,Arts and Community Innovative Partnership (ACIP) ,$20000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2010 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
African Advocacy Network,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,"African American
Immigrant",true,false,false,true,false,false,false,false,false,false,false,false,false
Arab Cultural and Community Center,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Asian American Women Artists Association (AAWAA),Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Bayview Hunters Point Center for Arts & Technology (BAYCAT),Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Chinese Culture Foundation of San Francisco,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
CounterPULSE,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Eldergivers,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Galeria de la Raza,Arts and Community Innovative Partnership (ACIP) ,$21850.00,01/01/2011 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Genny Lim,Arts and Community Innovative Partnership (ACIP) ,$6000.00,01/01/2011 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Golden Thread Productions,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Golden Thread Productions,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,Asian American,false,true,false,false,false,false,false,false,false,false,false,false,false
Imagine Bus Project,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Intersection for the Arts,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Outlook Theater Project,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Paul Flores,Arts and Community Innovative Partnership (ACIP) ,$20250.00,01/01/2011 12:00:00 AM,Latino American,false,false,false,false,false,true,false,false,false,false,false,false,false
Queer Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,L/G/B/T/Q,false,false,false,false,true,false,false,false,false,false,false,false,false
Rene Yung,Arts and Community Innovative Partnership (ACIP) ,$10000.00,01/01/2011 12:00:00 AM,"Asian American
Women",false,true,false,false,false,false,false,false,false,false,false,true,false
Voice of Witness,Arts and Community Innovative Partnership (ACIP) ,$9500.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
Youth Art Exchange,Arts and Community Innovative Partnership (ACIP) ,$23000.00,01/01/2011 12:00:00 AM,No specified focus,false,false,false,false,false,false,false,false,false,false,false,false,true
African Advocacy Network,Arts and Community Innovative Partnership (ACIP) ,$22500.00,01/01/2012 12:00:00 AM,"African American
Immigrant",true,false,false,true,false,false,false,false,false,false,false,false,false
Ana Teresa Fernandez,Arts and Community Innovative Partnership (ACIP) ,$9500.00,01/01/2012 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
Au Co Vietnamese Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$9500.00,01/01/2012 12:00:00 AM,"Asian American
Immigrant",false,true,false,true,false,false,false,false,false,false,false,false,false
Croatian American Cultural Center,Arts and Community Innovative Partnership (ACIP) ,$25000.00,01/01/2012 12:00:00 AM,Immigrant,false,false,false,true,false,false,false,false,false,false,false,false,false
